INFO 2024-06-20 23:29:50,558 autoreload 2440 10552 Watching for file changes with StatReloader
DEBUG 2024-06-20 23:29:50,558 autoreload 2440 10552 Waiting for apps ready_event.
DEBUG 2024-06-20 23:29:50,682 autoreload 2440 10552 Main Django thread has terminated before apps are ready.
DEBUG 2024-06-20 23:29:50,713 autoreload 2440 10552 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\contrib\admin\filters.py first seen with mtime 1718915335.4169147
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\base64.py first seen with mtime 1718725433.2782862
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\email\__init__.py first seen with mtime 1718725433.3724346
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1718915337.274068
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1718915337.0857685
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1718915337.1955588
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\DLLs\_overlapped.pyd first seen with mtime 1718725432.5576136
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1718915337.101392
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\DLLs\_wmi.pyd first seen with mtime 1718725432.5576136
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\utils\dates.py first seen with mtime 1718915337.274068
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\ipaddress.py first seen with mtime 1718725434.56116
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\concurrent\__init__.py first seen with mtime 1718725433.3095326
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\utils\formats.py first seen with mtime 1718915337.2897012
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\apps\registry.py first seen with mtime 1718915335.2123005
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1718915337.274068
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1718915334.86669
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\core\files\storage\memory.py first seen with mtime 1718915337.101392
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1718915336.123731
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1718915337.101392
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\DLLs\_lzma.pyd first seen with mtime 1718725432.5576136
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\reprlib.py first seen with mtime 1718725434.7857363
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\contrib\staticfiles\finders.py first seen with mtime 1718915337.0857685
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\ast.py first seen with mtime 1718725433.199757
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1718915337.2897012
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1264.0_x64__qbz5n2kfra8p0\Lib\email\_parseaddr.py first seen with mtime 1718725433.3724346
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1718915334.8576841
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\core\mail\message.py first seen with mtime 1718915337.117018
DEBUG 2024-06-20 23:29:50,885 autoreload 2440 10552 File D:\4_SEM\IGI\253501_Shchur_28\IGI\LR5\IGI_REPO\IGI\LR5\myenv\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1718915337.164294
